Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
01001 Alegría-Dulantzi,"40,1",2.904,"25,9","13,1",91,22,"2,5",22.449,20.650,46.062,18.082,38.507,15.116,"2,5","29,7"
01002 Amurrio,45,10.254,"28,1","23,3","92,8","17,9","2,5",23.589,22.050,46.758,19.088,39.221,16.011,"2,3","27,9"
01003 Aramaio,"46,3",1.383,"29,1","24,1","97,5","16,2","2,6",30.265,26.950,62.591,24.439,51.737,20.201,"2,1","26,4"
01004 Artziniega,43,1.796,"29,5","18,5","94,5",19,"2,4",23.170,20.650,45.737,18.794,38.089,15.651,"3,1","31,8"
01006 Armiñón,"43,4",222,"28,1","14,4","92,3","15,8","2,3",22.659,22.050,43.435,18.783,36.433,15.755,"2,2","26,6"
01008 Arratzua-Ubarrundia,"45,4",1.042,"24,9","21,6","96,8",16,"2,6",33.263,27.650,72.333,27.836,58.424,22.484,"2,3","27,2"
01009 Asparrena,"46,7",1.607,"40,1",22,"90,9","13,8","2,2",22.001,20.650,40.356,18.533,34.211,15.711,"2,4","28,6"
01010 Ayala/Aiara,"43,4",2.854,"27,3","17,5","97,3","19,2","2,6",24.131,22.750,50.508,19.308,42.042,16.071,"2,3","26,5"
01011 Baños de Ebro/Mañueta,50,298,"33,6","24,5","80,9","7,4","2,5",15.126,13.650,29.110,11.624,25.740,10.279,"3,6","37,4"
01013 Barrundia,"46,6",895,"31,2","21,7","96,8","14,2","2,4",27.119,25.550,54.235,22.361,45.152,18.616,"2,2","26,6"
01014 Berantevilla,"48,3",445,"37,1","25,8","93,9","13,5","2,3",24.198,21.350,46.514,20.278,38.777,16.905,"2,4","30,4"
01016 Bernedo,"50,2",539,"49,3","27,5","95,2","12,1",2,22.796,21.350,39.165,19.909,33.505,17.032,"2,5","30,9"
01017 Campezo/Kanpezu,"47,8",1.079,"45,4","24,9","93,8","13,5",2,21.363,19.950,37.129,18.341,31.541,15.581,"2,5","29,2"
01018 Zigoitia,"45,9",1.819,"29,8","22,8",96,"16,1","2,4",30.405,26.950,62.591,25.635,50.869,20.834,"2,2","27,4"
01019 Kripan,"49,2",176,"31,4",25,"96,6","10,8","2,5",18.672,17.850,37.723,15.003,32.410,12.890,"2,9",31
01020 Kuartango,"48,8",401,"49,3","28,9","96,5","15,7","1,9",23.796,21.350,38.919,20.673,32.927,17.490,"2,4","29,1"
01021 Elburgo/Burgelu,"43,7",637,"18,2",16,"96,2",17,"2,8",29.298,26.250,64.777,23.490,53.376,19.356,"2,6",30
01022 Elciego,"45,8",968,"35,1","23,8","91,7","17,4","2,3",21.188,18.550,42.227,18.016,35.165,15.003,"3,2",35
01023 Elvillar/Bilar,"50,3",314,"30,9","29,3","91,7","10,5","2,3",16.047,14.700,28.932,12.531,25.688,11.126,"2,7","31,9"
01027 Iruraiz-Gauna,"46,3",540,"23,7","19,1","97,2","12,2","2,5",27.590,26.950,55.819,22.638,46.399,18.817,"2,2","25,5"
01028 Labastida/Bastida,"43,2",1.565,"34,8","20,7","89,1","19,4","2,4",18.378,16.450,35.579,15.095,30.387,12.893,"3,5","35,1"
01030 Lagrán,"54,7",172,"54,6","38,4","96,5","8,7","1,7",21.834,20.650,35.438,20.398,29.662,17.073,"2,5","30,2"
01031 Laguardia,"45,4",1.474,"37,1","21,8","87,3","15,5","2,3",20.334,18.550,38.847,17.052,32.660,14.336,"3,1","33,9"
01032 Lanciego/Lantziego,"45,1",708,"37,5","25,1","85,9","19,6","2,4",15.671,13.650,28.686,12.195,25.280,10.747,"3,6","38,8"
01033 Lapuebla de Labarca,"44,3",869,35,"21,5","88,3",17,"2,4",16.668,15.050,30.964,13.041,27.198,11.455,"3,8",35
01034 Leza,"47,5",220,"35,7","28,2","84,1",15,"2,2",18.789,16.450,34.688,15.452,30.077,13.398,"3,9","36,1"
01036 Laudio/Llodio,"47,4",17.866,"31,5","26,4",94,"15,1","2,3",22.819,21.350,43.292,18.876,36.469,15.901,"2,4","28,8"
01037 Arraia-Maeztu,"45,7",812,"40,1","23,8","94,2","18,5","2,2",24.143,21.350,44.837,20.375,37.820,17.187,"2,3","28,7"
01039 Moreda de Álava/Moreda Araba,"51,2",208,"43,1",26,"96,2","6,7",2,20.460,19.250,35.193,17.258,29.867,14.646,"2,8","33,4"
01041 Navaridas,"46,5",198,"32,1","22,7","87,4","13,1","2,4",14.052,12.950,27.627,11.302,24.239,9.916,3,"36,2"
01042 Okondo,"43,4",1.196,"26,3","17,9",95,"19,2","2,5",21.018,19.250,42.981,16.927,35.954,14.159,"2,7",31
01043 Oyón-Oion,"40,9",3.437,"30,1","15,9","87,6","22,2","2,5",18.064,15.050,36.508,14.350,31.255,12.286,"3,3","36,8"
01044 Peñacerrada-Urizaharra,"48,9",303,"47,2","21,1",96,"10,9","1,9",25.193,24.150,42.715,22.697,35.415,18.818,"2,2","26,5"
01046 Erriberagoitia/Ribera Alta,"46,7",826,"38,4","20,3","95,5","13,7","2,3",26.104,23.100,49.753,21.985,41.500,18.338,"2,3",28
01047 Ribera Baja/Erriberabeitia,"41,6",1.394,"22,1","14,7","89,7","18,2","2,7",22.926,21.350,50.162,18.532,41.358,15.279,"2,6","31,9"
01049 Añana,"50,9",156,"60,4","27,6","92,3",9,"1,7",23.623,24.150,36.482,21.281,31.040,18.107,3,"32,5"
01051 Agurain/Salvatierra,"41,2",5.012,"31,2","17,5","88,6","21,5","2,4",20.721,19.950,40.616,16.653,34.555,14.168,"2,5","27,2"
01052 Samaniego,"44,9",286,"36,5","19,6","84,6","15,4","2,3",17.829,16.450,33.240,14.644,28.668,12.630,"3,8","36,1"
01053 San Millán/Donemiliaga,"48,1",730,"29,7","24,7","97,4","14,8","2,4",25.941,24.850,50.859,20.901,43.007,17.674,"2,1","27,3"
01054 Urkabustaiz,"41,8",1.434,"34,1","15,1","90,8",20,"2,4",22.370,20.650,44.713,18.397,37.369,15.375,"2,5",30
01055 Valdegovía/Gaubea,"51,6",1.064,"48,4",30,"93,2","9,5",2,22.518,20.650,38.730,19.693,32.878,16.717,3,"33,1"
01056 Harana/Valle de Arana,"55,7",218,47,"36,2","96,8","9,2","1,9",19.059,17.850,31.058,16.384,27.210,14.354,"2,2","27,5"
01057 Villabuena de Álava/Eskuernaga,"50,2",284,"33,1","30,6",88,"10,2","2,4",15.973,13.650,30.042,12.800,26.785,11.412,"2,2","30,9"
01058 Legutio,"43,8",2.026,"30,8","18,3","88,7","16,9","2,5",26.306,23.450,53.434,21.838,43.863,17.926,"2,9","32,3"
01059 Vitoria-Gasteiz,"44,4",252.213,"32,2","21,9","88,8",17,"2,3",23.771,21.350,46.724,19.949,38.785,16.560,"2,7","31,2"
01060 Yécora/Iekora,"49,7",250,32,"31,6","91,2","10,8","2,4",18.685,16.450,35.389,14.580,30.987,12.767,"3,1","38,4"
01061 Zalduondo,46,196,"45,7","17,4",99,"11,7","2,1",25.840,23.450,46.945,22.036,39.056,18.332,"2,1","28,3"
01062 Zambrana,"46,5",423,35,"22,7",91,"13,7","2,3",21.632,19.250,41.242,17.842,34.997,15.141,3,"30,7"
01063 Zuia,"45,3",2.297,"29,6","18,7","96,7","14,1","2,5",31.376,26.250,65.731,26.498,53.167,21.433,"2,3","29,6"
01901 Iruña Oka/Iruña de Oca,41,3.335,"25,6","13,9","93,6","20,4","2,6",23.314,21.350,48.228,18.698,40.450,15.683,"2,3","27,7"
